canceled_job,hours_before_execution,request_week,request_day,peak_gpu_hours,offpeak_gpu_hours,num_primary_processes,num_auxiliary_processes,num_background_processes,returning_client,previous_job_cancellations,successful_previous_jobs,resource_modifications,queue_wait_time,estimated_cost_per_hour,reserved_storage_units,special_resource_requests,high_value_client,week_sin,week_cos,datacenter_GPU_Cluster_BB,service_tier_on_demand,service_tier_priority,service_tier_standard,service_tier_unknown,client_type_enterprise_client,client_type_high_priority_partner,client_type_internal_research,client_type_managed_account,client_type_research_consortium,client_type_sponsored_project,request_channel_broker_platform,request_channel_enterprise_portal,request_channel_scheduler_gateway,reserved_gpu_type_GPU_T12,reserved_gpu_type_GPU_T2,reserved_gpu_type_GPU_T3,reserved_gpu_type_GPU_T4,reserved_gpu_type_GPU_T5,reserved_gpu_type_GPU_T6,reserved_gpu_type_GPU_T7,reserved_gpu_type_GPU_T8,assigned_gpu_type_GPU_T10,assigned_gpu_type_GPU_T12,assigned_gpu_type_GPU_T2,assigned_gpu_type_GPU_T3,assigned_gpu_type_GPU_T4,assigned_gpu_type_GPU_T5,assigned_gpu_type_GPU_T6,assigned_gpu_type_GPU_T7,assigned_gpu_type_GPU_T8,assigned_gpu_type_GPU_T9,reservation_commitment_locked_allocation,reservation_commitment_no_commitment,workload_profile_multi_run_experiment,workload_profile_single_experiment,workload_profile_team_project
0,44,1,1,19777.4,0.0,1,0.0,0,0,0,0,2,0,60.0,0,0,0,0.1182731709213658,0.9929810960135169,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,141,1,1,45517.8,64750.0,2,2.0,0,0,0,0,0,0,91.75,0,1,0,0.1182731709213658,0.9929810960135169,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
0,44,1,1,10380.9,0.0,1,0.0,0,0,0,0,1,0,65.0,0,0,0,0.1182731709213658,0.9929810960135169,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,355,1,1,16158.8,0.0,2,0.0,0,0,0,0,0,0,87.3,0,1,0,0.1182731709213658,0.9929810960135169,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1,189,1,1,25983.4,80454.2,3,0.0,0,0,0,0,0,0,115.6,0,2,0,0.1182731709213658,0.9929810960135169,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
0,17,1,1,19188.1,32813.8,2,0.0,0,0,0,0,0,0,96.08,0,1,0,0.1182731709213658,0.9929810960135169,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
0,0,1,1,0.0,8895.3,2,0.0,0,1,0,1,0,0,50.0,1,0,0,0.1182731709213658,0.9929810960135169,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1,26,1,1,20992.6,46582.1,2,0.0,0,0,0,0,0,0,103.7,0,0,0,0.1182731709213658,0.9929810960135169,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
0,46,1,1,0.0,28370.7,2,0.0,0,0,0,0,0,0,71.0,0,0,0,0.1182731709213658,0.9929810960135169,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1,52,1,1,19195.3,56504.7,1,0.0,0,0,0,0,0,0,42.43,0,0,0,0.1182731709213658,0.9929810960135169,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,38,1,1,20428.3,43950.1,2,0.0,0,0,0,0,1,0,56.0,0,0,0,0.1182731709213658,0.9929810960135169,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1,88,1,1,38927.9,39961.1,2,0.0,0,0,0,0,0,0,44.64,0,1,0,0.1182731709213658,0.9929810960135169,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,36,1,1,35293.4,73133.9,2,0.0,0,0,0,0,0,0,37.94,0,1,0,0.1182731709213658,0.9929810960135169,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1,30,1,1,11173.1,36158.7,2,0.0,0,0,1,0,0,0,66.5,0,0,0,0.1182731709213658,0.9929810960135169,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1,101,1,1,24684.7,29791.6,2,0.0,0,0,0,0,0,0,81.6,0,2,0,0.1182731709213658,0.9929810960135169,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,125,1,1,52295.6,104500.2,0,0.0,0,0,0,0,2,0,27.69,0,2,0,0.1182731709213658,0.9929810960135169,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1,62,1,1,28554.0,16139.2,2,0.0,0,0,0,0,0,0,51.5,0,1,0,0.1182731709213658,0.9929810960135169,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,44,1,1,12161.6,0.0,2,0.0,0,0,0,0,0,0,65.0,0,0,0,0.1182731709213658,0.9929810960135169,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,8,1,1,16493.2,25586.4,2,0.0,0,0,0,0,0,0,112.2,0,1,0,0.1182731709213658,0.9929810960135169,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
0,1,1,2,13274.0,5706.2,2,0.0,0,0,0,0,0,0,48.0,0,1,0,0.1182731709213658,0.9929810960135169,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,150,1,2,29378.9,17429.4,2,0.0,0,0,0,0,0,91,101.0,0,0,0,0.1182731709213658,0.9929810960135169,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,44,1,2,23854.3,11985.1,2,0.0,0,0,0,0,0,0,98.0,0,0,0,0.1182731709213658,0.9929810960135169,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,1,1,2,0.0,16169.7,2,0.0,0,0,0,0,2,0,107.0,0,1,0,0.1182731709213658,0.9929810960135169,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1,231,1,2,19743.7,50730.5,2,0.0,0,0,0,0,0,0,109.65,0,2,0,0.1182731709213658,0.9929810960135169,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1,150,1,2,30723.5,12654.3,2,0.0,0,0,0,0,0,91,101.0,0,0,0,0.1182731709213658,0.9929810960135169,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,71,1,2,16425.8,24356.5,2,0.0,0,0,0,0,0,0,97.4,1,2,0,0.1182731709213658,0.9929810960135169,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,23,1,2,22176.3,16364.6,1,0.0,0,0,0,0,0,0,87.0,0,0,0,0.1182731709213658,0.9929810960135169,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1,231,1,2,15620.8,30037.2,2,0.0,0,0,0,0,0,0,109.65,0,2,0,0.1182731709213658,0.9929810960135169,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,69,1,2,9969.9,39616.3,2,0.0,0,0,0,0,0,0,93.6,0,1,0,0.1182731709213658,0.9929810960135169,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
