,client_type,service_tier,reserved_gpu_type
0,research_consortium,standard,GPU_T1
1,cloud_marketplace,standard,GPU_T7
2,research_consortium,standard,GPU_T1
3,cloud_marketplace,standard,GPU_T4
4,cloud_marketplace,standard,GPU_T4
5,cloud_marketplace,standard,GPU_T2
6,internal_research,standard,GPU_T1
7,cloud_marketplace,standard,GPU_T4
8,cloud_marketplace,standard,GPU_T1
9,cloud_marketplace,standard,GPU_T1
10,cloud_marketplace,standard,GPU_T4
11,cloud_marketplace,standard,GPU_T1
12,cloud_marketplace,standard,GPU_T1
13,cloud_marketplace,standard,GPU_T4
14,cloud_marketplace,on_demand,GPU_T1
15,cloud_marketplace,on_demand,GPU_T4
16,cloud_marketplace,standard,GPU_T1
17,research_consortium,standard,GPU_T1
18,cloud_marketplace,standard,GPU_T4
19,cloud_marketplace,standard,GPU_T1
20,managed_account,priority,GPU_T1
21,research_consortium,priority,GPU_T1
22,internal_research,standard,GPU_T1
23,cloud_marketplace,priority,GPU_T1
24,managed_account,priority,GPU_T1
25,cloud_marketplace,standard,GPU_T1
26,managed_account,priority,GPU_T1
27,cloud_marketplace,priority,GPU_T1
28,cloud_marketplace,standard,GPU_T1
29,internal_research,standard,GPU_T4
30,cloud_marketplace,standard,GPU_T1
31,internal_research,standard,GPU_T5
32,managed_account,standard,GPU_T1
33,research_consortium,priority,GPU_T1
34,cloud_marketplace,standard,GPU_T1
35,managed_account,priority,GPU_T1
36,cloud_marketplace,standard,GPU_T1
37,cloud_marketplace,standard,GPU_T4
38,internal_research,standard,GPU_T1
39,cloud_marketplace,standard,GPU_T1
40,cloud_marketplace,standard,GPU_T2
41,cloud_marketplace,standard,GPU_T5
42,cloud_marketplace,standard,GPU_T1
43,cloud_marketplace,standard,GPU_T1
44,cloud_marketplace,standard,GPU_T1
45,internal_research,standard,GPU_T6
46,cloud_marketplace,priority,GPU_T4
47,internal_research,standard,GPU_T1
48,internal_research,standard,GPU_T5
49,cloud_marketplace,on_demand,GPU_T1
50,cloud_marketplace,standard,GPU_T1
51,enterprise_client,standard,GPU_T1
52,managed_account,priority,GPU_T1
53,cloud_marketplace,on_demand,GPU_T1
54,cloud_marketplace,standard,GPU_T1
55,cloud_marketplace,on_demand,GPU_T1
56,internal_research,standard,GPU_T4
57,cloud_marketplace,priority,GPU_T1
58,cloud_marketplace,on_demand,GPU_T1
59,cloud_marketplace,on_demand,GPU_T1
60,cloud_marketplace,standard,GPU_T1
61,cloud_marketplace,standard,GPU_T1
62,enterprise_client,standard,GPU_T1
63,cloud_marketplace,on_demand,GPU_T1
64,enterprise_client,standard,GPU_T1
65,research_consortium,standard,GPU_T1
66,research_consortium,standard,GPU_T1
67,cloud_marketplace,standard,GPU_T4
68,research_consortium,standard,GPU_T1
69,research_consortium,standard,GPU_T1
70,internal_research,standard,GPU_T1
71,internal_research,standard,GPU_T1
72,cloud_marketplace,standard,GPU_T1
73,cloud_marketplace,standard,GPU_T1
74,research_consortium,standard,GPU_T1
75,cloud_marketplace,standard,GPU_T1
76,research_consortium,standard,GPU_T1
77,cloud_marketplace,on_demand,GPU_T1
78,internal_research,standard,GPU_T1
79,managed_account,standard,GPU_T1
80,cloud_marketplace,standard,GPU_T1
81,internal_research,standard,GPU_T1
82,cloud_marketplace,standard,GPU_T1
83,internal_research,standard,GPU_T1
84,research_consortium,standard,GPU_T4
85,cloud_marketplace,standard,GPU_T5
86,managed_account,priority,GPU_T5
87,internal_research,standard,GPU_T1
88,research_consortium,standard,GPU_T4
89,cloud_marketplace,standard,GPU_T1
90,cloud_marketplace,standard,GPU_T1
91,cloud_marketplace,standard,GPU_T5
92,managed_account,standard,GPU_T1
93,cloud_marketplace,on_demand,GPU_T1
94,cloud_marketplace,standard,GPU_T4
95,cloud_marketplace,standard,GPU_T1
96,cloud_marketplace,standard,GPU_T1
97,managed_account,standard,GPU_T1
98,cloud_marketplace,on_demand,GPU_T1
99,internal_research,standard,GPU_T4
100,cloud_marketplace,standard,GPU_T6
101,enterprise_client,standard,GPU_T1
102,cloud_marketplace,standard,GPU_T1
103,internal_research,standard,GPU_T1
104,cloud_marketplace,on_demand,GPU_T1
105,cloud_marketplace,on_demand,GPU_T1
106,managed_account,priority,GPU_T1
107,managed_account,standard,GPU_T1
108,managed_account,standard,GPU_T1
109,cloud_marketplace,standard,GPU_T2
110,cloud_marketplace,standard,GPU_T1
111,managed_account,standard,GPU_T1
112,sponsored_project,standard,GPU_T1
113,research_consortium,standard,GPU_T4
114,managed_account,standard,GPU_T1
115,internal_research,standard,GPU_T5
116,research_consortium,standard,GPU_T4
117,cloud_marketplace,standard,GPU_T1
118,research_consortium,standard,GPU_T4
119,research_consortium,standard,GPU_T4
120,research_consortium,standard,GPU_T4
121,cloud_marketplace,standard,GPU_T4
122,cloud_marketplace,on_demand,GPU_T1
123,cloud_marketplace,standard,GPU_T1
124,research_consortium,standard,GPU_T4
125,research_consortium,standard,GPU_T4
126,cloud_marketplace,standard,GPU_T4
127,cloud_marketplace,standard,GPU_T4
128,internal_research,standard,GPU_T1
129,cloud_marketplace,standard,GPU_T4
130,cloud_marketplace,standard,GPU_T1
131,managed_account,priority,GPU_T5
132,cloud_marketplace,standard,GPU_T1
133,internal_research,standard,GPU_T4
134,managed_account,standard,GPU_T1
135,cloud_marketplace,standard,GPU_T1
136,cloud_marketplace,priority,GPU_T1
137,managed_account,priority,GPU_T1
138,cloud_marketplace,standard,GPU_T7
139,enterprise_client,standard,GPU_T1
140,cloud_marketplace,standard,GPU_T4
141,internal_research,standard,GPU_T1
142,enterprise_client,standard,GPU_T1
143,cloud_marketplace,standard,GPU_T1
144,research_consortium,standard,GPU_T1
145,cloud_marketplace,standard,GPU_T6
146,cloud_marketplace,on_demand,GPU_T1
147,enterprise_client,standard,GPU_T1
148,enterprise_client,standard,GPU_T1
149,research_consortium,standard,GPU_T1
150,enterprise_client,standard,GPU_T1
151,enterprise_client,standard,GPU_T1
152,cloud_marketplace,standard,GPU_T1
153,enterprise_client,standard,GPU_T1
154,cloud_marketplace,standard,GPU_T1
155,cloud_marketplace,on_demand,GPU_T1
156,internal_research,standard,GPU_T1
157,cloud_marketplace,standard,GPU_T1
158,cloud_marketplace,standard,GPU_T1
159,internal_research,standard,GPU_T5
160,internal_research,standard,GPU_T1
161,cloud_marketplace,standard,GPU_T1
162,cloud_marketplace,standard,GPU_T1
163,managed_account,standard,GPU_T1
164,cloud_marketplace,standard,GPU_T1
165,research_consortium,standard,GPU_T1
166,research_consortium,standard,GPU_T1
167,research_consortium,standard,GPU_T1
168,research_consortium,standard,GPU_T1
169,cloud_marketplace,standard,GPU_T1
170,research_consortium,standard,GPU_T1
171,internal_research,standard,GPU_T1
172,cloud_marketplace,on_demand,GPU_T1
173,managed_account,standard,GPU_T1
174,research_consortium,standard,GPU_T1
175,internal_research,standard,GPU_T1
176,cloud_marketplace,on_demand,GPU_T1
177,cloud_marketplace,standard,GPU_T1
178,cloud_marketplace,standard,GPU_T6
179,cloud_marketplace,standard,GPU_T1
180,cloud_marketplace,standard,GPU_T4
181,internal_research,standard,GPU_T1
182,cloud_marketplace,standard,GPU_T2
183,cloud_marketplace,standard,GPU_T1
184,internal_research,standard,GPU_T7
185,cloud_marketplace,on_demand,GPU_T1
186,enterprise_client,standard,GPU_T1
187,internal_research,on_demand,GPU_T1
188,research_consortium,priority,GPU_T1
189,enterprise_client,standard,GPU_T1
190,internal_research,standard,GPU_T1
191,enterprise_client,standard,GPU_T1
192,enterprise_client,standard,GPU_T1
193,internal_research,standard,GPU_T5
194,enterprise_client,standard,GPU_T1
195,enterprise_client,standard,GPU_T1
196,enterprise_client,standard,GPU_T1
197,cloud_marketplace,standard,GPU_T1
198,enterprise_client,standard,GPU_T1
199,enterprise_client,standard,GPU_T1
200,cloud_marketplace,standard,GPU_T5
201,cloud_marketplace,standard,GPU_T1
202,cloud_marketplace,standard,GPU_T1
203,cloud_marketplace,standard,GPU_T1
204,enterprise_client,standard,GPU_T1
205,internal_research,standard,GPU_T1
206,enterprise_client,standard,GPU_T1
207,enterprise_client,standard,GPU_T1
208,enterprise_client,standard,GPU_T1
209,cloud_marketplace,standard,GPU_T1
210,internal_research,standard,GPU_T1
211,internal_research,standard,GPU_T1
212,internal_research,standard,GPU_T4
213,managed_account,priority,GPU_T1
214,cloud_marketplace,standard,GPU_T1
215,cloud_marketplace,on_demand,GPU_T1
216,enterprise_client,standard,GPU_T1
217,managed_account,standard,GPU_T1
218,enterprise_client,standard,GPU_T1
219,managed_account,standard,GPU_T1
220,managed_account,standard,GPU_T1
221,managed_account,standard,GPU_T1
222,cloud_marketplace,standard,GPU_T2
223,cloud_marketplace,standard,GPU_T1
224,sponsored_project,priority,GPU_T7
225,cloud_marketplace,standard,GPU_T5
226,cloud_marketplace,standard,GPU_T4
227,internal_research,priority,GPU_T4
228,internal_research,standard,GPU_T1
229,cloud_marketplace,standard,GPU_T4
230,managed_account,standard,GPU_T1
231,cloud_marketplace,standard,GPU_T1
232,cloud_marketplace,standard,GPU_T5
233,cloud_marketplace,standard,GPU_T1
234,research_consortium,unknown,GPU_T1
235,research_consortium,unknown,GPU_T1
236,managed_account,standard,GPU_T1
237,research_consortium,unknown,GPU_T1
238,internal_research,standard,GPU_T1
239,internal_research,standard,GPU_T7
240,research_consortium,unknown,GPU_T1
241,research_consortium,unknown,GPU_T1
242,enterprise_client,standard,GPU_T1
243,enterprise_client,standard,GPU_T1
244,research_consortium,standard,GPU_T1
245,research_consortium,unknown,GPU_T1
246,cloud_marketplace,standard,GPU_T1
247,research_consortium,unknown,GPU_T1
248,research_consortium,unknown,GPU_T1
249,research_consortium,unknown,GPU_T1
250,enterprise_client,standard,GPU_T1
251,managed_account,standard,GPU_T1
252,research_consortium,unknown,GPU_T1
253,cloud_marketplace,standard,GPU_T1
254,enterprise_client,standard,GPU_T1
255,internal_research,standard,GPU_T4
256,research_consortium,unknown,GPU_T1
257,research_consortium,unknown,GPU_T1
258,research_consortium,unknown,GPU_T1
259,cloud_marketplace,standard,GPU_T5
260,cloud_marketplace,on_demand,GPU_T1
261,research_consortium,unknown,GPU_T1
262,enterprise_client,standard,GPU_T1
263,internal_research,standard,GPU_T4
264,research_consortium,unknown,GPU_T1
265,cloud_marketplace,standard,GPU_T1
266,cloud_marketplace,standard,GPU_T4
267,enterprise_client,standard,GPU_T1
268,managed_account,standard,GPU_T1
